Location,Rep,block,Geno,area_mm2,perimeter_mm,majellipse_mm,minellipse_mm,color 1,COLOR 2,COLOR 3,PMG,Moisture FLOUR,Water Abs,Protein  FLOUR,PEAK TIME MINUTES,PEAK VALUE %,PEAK WIDTH %,"PEAK INTEGRAL %TQ*MIN,",SCORE mixo,SDS sedimentation,Hardness Nir,Protein grain NIR,Moisture grain NIR,rendement de la farine,Fe mg/Kg,Zn mg/Kg,Se mg/Kg,Extraction 1,Extraction 2,Extraction 3, Quantité de farine (gramme)(calculer),Glu- A1, Glu-B1,Glu-D1,Payne et all,Branlard & Dardevet
OM,1,1,1,18.6,21.8,7.3,3.2,166.2,120.5,98.4,42.1,11.243,68.282,14.434,4.52,47.682,22.298,160.513,5,6.5,45.062,11.334,10.733,78.54132059,18.10277778,38.20081322,0.141073406,257.32,68.9,21.29,347.51,0,7,2+10,,
OM,1,1,2,16.7,20.2,6.7,3.2,162.6,122.7,96.5,39.4,11.127,66.88,15.005,4.93,66.353,28.669,199.244,3,8,55.64,11.478,10.822,78.49019471,25.23008912,19.87647069,0.220042302,272.98,65.25,22.31,360.54,0,7,2+10,,
OM,1,1,3,15.8,19.9,6.6,3.0,160.3,113.8,90.8,35.4,11.312,65.301,14.947,5.01,55.41,24.634,202.33,4,6,49.811,12.138,10.974,76.27221421,28.8437076,29.54184257,0.192039176,257.57,67.3,27.32,352.19,2*,7,5+10,8,
OM,1,1,4,16.2,20.0,6.7,3.1,171.5,123.3,98.5,37.3,11.762,64.602,14.491,4.55,53.138,27.581,169.915,4,8,54.724,11.365,11.253,80.36702949,27.46836247,28.83428876,0.214953344,282.9,65.75,18.6,367.25,1,7,2+12,6,30
OM,1,1,5,15.9,20.8,7.0,2.9,165.2,122.1,97.6,32.0,11.086,68.811,16.48,3.41,57.991,25.172,138.861,3,8,56.471,12.988,11.134,70.78903923,24.14249891,26.65561925,0.227430158,,,,324.16,2*,7+9,2+12,7,57
OM,1,1,6,16.9,20.6,6.7,3.2,170.1,121.9,97.5,39.2,11.668,63.971,12.754,3.61,52.923,20.725,127.198,3,8.5,61.144,11.785,10.834,76.5668556,16.64552851,28.07782962,0.162608412,249.39,69.84,18.89,338.12,1,7,2+12,6,30
OM,1,1,7,15.9,19.9,6.6,3.1,164.8,122.8,94.1,36.0,11.215,68.643,15.178,4.35,52.934,22.252,167.437,4,7,55.659,12.08,11.314,77.58604272,33.99545226,30.34289872,0.26946942,289.95,57.08,19.63,366.66,1,17+18,2+12,8,40
OM,1,1,8,17.2,20.6,6.7,3.3,168.2,127.6,100.5,42.2,10.941,67.569,14.631,3.17,57.231,25.399,118.062,2,7.5,54.386,11.507,11.073,80.59770607,28.07169077,22.83975914,0.24925934,293.45,59.21,16.33,368.99,1,7,2+12,6,30
OM,1,1,9,18.0,21.3,7.1,3.2,161.6,114.7,90.4,42.7,11.67,62.728,12.616,3.49,58.305,23.504,137.06,3,8.5,46.283,12.329,10.607,79.12323871,28.83830354,33.42490739,0.131072295,288.87,62.94,21.84,373.65,2*,7oe+8,2+12,10,
OM,1,1,10,17.1,20.8,6.9,3.2,164.8,118.5,96.0,39.5,11.364,64.857,15.126,4.3,56.594,26.209,165.996,3,6.5,50.032,11.77,10.889,76.46218391,28.0393134,34.91671111,0.217239673,258.74,76.25,18.76,353.75,2*,17+18,2+12,8,55
OM,1,1,11,16.0,20.0,6.5,3.1,169.0,117.9,87.1,39.5,11.412,64.091,14.392,2.79,57.797,23.179,109.805,3,7,62.003,12.195,13.439,77.15161332,24.34201157,26.98943373,0.206931474,297.07,55.45,18.05,370.57,1,7,2+12,6,30
OM,1,1,12,17.7,21.1,6.9,3.2,172.3,121.5,92.6,44.7,11.212,65.092,16.405,5.67,52.29,22.518,207.996,6,6.5,56.289,11.675,10.99,75.64378025,29.03332012,30.57117718,0.233514956,272,67.52,15.71,355.23,2*,17+18,2+12,8,55
OM,1,2,13,16.8,20.3,6.6,3.2,171.9,120.1,89.0,35.9,11.752,65.708,16.093,5.83,49.692,22.971,210.386,5,7,53.12,11.836,12.871,76.82096332,24.14205781,31.27549068,0.24420916,291.41,57.97,19.83,369.21,2*,7+8,2+12,,52
OM,1,2,14,17.7,20.9,6.8,3.3,170.7,120.2,91.4,46.4,11.434,64.923,15.907,3.66,61.703,32.67,163.059,3,5.5,53.85,11.84,12.634,75.28769552,29.51001389,28.35477492,0.207713802,,,,322.732,1,7,2+12,6,30
OM,1,2,15,18.3,21.7,7.2,3.2,170.5,121.9,95.4,44.0,11.158,67.978,16.527,4.4,51.589,22.655,175.341,5,8,54.486,11.061,13.129,73.34555724,26.609998,27.26136515,0.167051435,,,,343.61,2*,17+18,2+12,8,55
OM,1,2,16,17.0,20.4,6.7,3.2,175.7,124.0,95.7,41.9,11.183,66.865,16.611,3.65,49.613,19.461,131.789,3,8.5,51.498,12.029,13.297,74.30463404,21.32970077,21.14791361,0.160814485,266.63,56.02,20.04,342.69,2*,7,2+12,6,45
OM,1,2,17,14.5,19.5,6.5,2.8,164.1,116.0,87.4,29.7,11.684,63.004,13.546,4.68,65.66,31.246,195.231,3,10.5,61.984,12.516,11.613,77.45928498,16.69172332,34.97679939,0.185254187,302.11,61.26,17.22,380.59,2*,17+18,2+12,8,55
OM,1,2,18,15.1,19.7,6.6,2.9,168.3,119.5,92.4,32.9,11.63,64.516,15.21,3.33,51.516,18.236,118.915,3,5.5,56.095,12.271,10.907,75.02876328,35.24531531,32.7431898,0.261288422,,,,350.19,0,7,2+12,4,15
OM,1,2,19,16.2,20.3,6.7,3.1,171.1,118.4,82.6,37.9,12.462,59.116,13.096,3.18,57.472,19.673,122.613,3,6.5,66.357,12.454,13.1,76.72798478,35.86977223,38.54447185,0.2376757,274.25,65.56,19.9,359.71,0,17+18,2+12,6,25
OM,1,2,20,16.2,20.4,6.7,3.1,165.8,115.3,86.1,36.7,11.214,63.922,13.686,5.16,54.662,25.935,195.198,4,8,55.83,13.162,13.68,78.33122968,22.6324854,33.93559748,0.215983219,294.18,63.88,16.78,374.84,0,17+18,2+12,6,25
OM,1,2,21,15.4,19.9,6.7,3.0,164.3,124.0,96.3,33.9,11.538,62.724,13.437,4.7,68.221,31.24,207.056,3,9,51.655,11.694,10.799,77.21037338,17.18217778,21.84981114,0.247137285,255.36,73.71,22.99,352.06,0,7+9,2+12,5,27
OM,1,2,22,15.2,19.7,6.6,3.0,168.8,121.2,95.7,31.7,11.749,64.076,15.24,3.43,55.325,23.552,129.881,3,6.5,51.23,11.607,11.163,77.70325991,25.27284101,37.75366618,0.146900331,277.5,63.94,21.32,362.76,0,7,2+12,4,15
OM,1,2,23,15.7,20.2,6.7,3.0,172.2,130.8,100.6,33.5,11.817,65.814,15.04,3.24,50.994,22.847,117.678,3,6,61.836,11.378,11.438,77.46772716,27.08565292,24.86204546,0.170257274,276.36,62.36,21.46,360.18,1,7,2+12,6,30
OM,1,2,24,15.5,19.8,6.6,3.0,165.0,125.1,96.7,33.8,11.672,64.377,14.306,4.3,48.604,19.916,154.715,4,7,44.31,11.611,11.261,74.56094296,21.24229989,33.93331394,0.160156254,,,,340.83,1,17+18,2+12,8,40
OM,2,3,21,16.7,20.5,6.9,3.1,163.9,117.4,94.0,39.0,11.582,64.374,14.062,4.71,62.021,24.501,198.431,4,5.5,42.774,11.619,11.051,78.41217316,20.40021028,19.48813677,0.248971095,,,,358.76,0,7+9,2+12,5,27
OM,2,3,13,16.2,20.0,6.6,3.1,169.5,120.6,94.9,39.0,11.861,64.322,13.963,5.67,49.074,22.906,201.706,6,8.5,54.214,11.694,11.272,80.10201774,31.14909308,32.18708213,0.205984466,288.83,70.43,12.6,371.86,2*,7+8,2+12,,52
OM,2,3,18,16.2,20.2,6.7,3.1,167.2,125.8,97.1,36.5,11.533,64.885,14.018,3.36,54.756,23.065,126.157,3,5.5,54.194,11.822,11.297,77.63363654,38.28007815,32.10783007,0.212485934,256.67,71.52,24.29,352.48,0,7,2+12,4,15
OM,2,3,8,16.7,20.2,6.7,3.2,171.6,122.9,99.2,41.2,11.04,65.59,14.106,3.25,54.861,23.577,121.801,3,9,53.732,10.882,10.922,78.60298165,27.96501001,19.85997126,0.215047134,263.23,68.35,19.67,351.25,1,7,2+12,6,30
OM,2,3,3,16.8,20.6,6.8,3.2,158.7,119.8,94.4,38.5,11.31,65.24,14.768,4.89,55.361,21.837,196.851,5,6,50,12.043,11.182,68.46862512,33.28243771,33.17538217,0.255982843,,,,212.63,2*,7,5+10,8,
OM,2,3,6,17.0,20.8,6.8,3.2,172.1,123.7,99.3,40.7,11.724,62.568,13.291,3.97,55.072,24.479,141.581,3,9,61.927,11.469,10.636,78.53600986,17.59104402,31.41459842,0.192440748,270.24,64.34,22.89,357.47,1,7,2+12,6,30
OM,2,3,2,16.6,20.4,6.8,3.1,164.8,117.9,95.3,37.3,11.368,64.275,14.051,4.81,56.736,24.101,171.605,4,9.5,54.173,11.787,10.743,80.10611013,27.30847258,22.23833994,0.209514376,276.5,71.36,16.32,364.18,0,7,2+10,,
OM,2,3,5,14.8,20.2,6.9,2.7,165.9,116.7,96.4,29.8,11.098,67.291,13.888,3.11,59.949,26.982,127.12,2,6.5,59.935,13.194,10.937,68.81292532,22.80453641,28.0002333,0.244914016,226.76,73.82,22.09,322.67,2*,7+9,2+12,7,57
OM,2,3,14,16.6,20.4,6.7,3.1,165.3,117.7,93.8,39.2,11.433,63.196,14.496,3.46,66.045,29.764,147.531,3,10,53.576,11.921,11.193,77.22352639,31.76190063,28.03717282,0.227111684,263.57,63.59,21.21,348.37,1,7,2+12,6,30
OM,2,3,16,16.8,20.2,6.6,3.2,171.0,129.1,100.4,39.7,11.091,67.42,16.044,3.59,57.632,21.744,140.389,3,7,55.46,10.977,11.095,78.10747761,23.02421465,22.31277867,0.143500179,270.29,69.26,16.36,355.91,2*,7,2+12,6,45
OM,2,3,1,18.0,21.7,7.3,3.1,167.3,127.9,101.7,39.1,11.282,66.237,14.017,4.6,49.552,23.019,169.698,5,7.5,52.974,10.884,10.955,79.25990996,18.91287186,36.2512128,0.169381759,282.79,57.75,20.37,360.91,0,7,2+10,,
OM,2,3,11,16.1,19.7,6.5,3.1,168.2,126.4,96.4,38.2,11.572,66.801,15.085,3.09,57.797,20.835,126.67,3,7,59.99,11.788,11.616,77.03388776,26.62997878,28.502533,0.203487495,273.56,53.54,13.54,340.64,1,7,2+12,6,30
OM,2,4,23,15.9,19.8,6.6,3.1,176.1,134.2,101.3,36.5,11.761,68.526,15.798,3.62,46.785,17.77,126.06,3,6,60.43,10.547,11.805,78.85232447,27.39247953,22.04432039,0.197433806,283.66,68.29,19.86,371.81,1,7,2+12,6,30
OM,2,4,19,16.3,20.1,6.6,3.2,172.5,130.3,99.4,38.1,12.591,60.749,14.19,2.95,51.486,21.871,109.666,3,6,51.854,11.796,11.017,83.87603458,26.82934418,36.94687597,0.239045931,262.32,89.34,21.07,372.73,0,17+18,2+12,6,25
OM,2,4,24,15.4,19.9,6.7,2.9,164.9,124.4,96.7,32.7,11.531,63.849,14.113,4.05,60.218,24.234,161.821,3,7.5,49.523,11.901,11.223,77.82899154,18.51652254,32.22603653,0.193210514,267.89,61.83,12.21,341.93,1,17+18,2+12,8,40
OM,2,4,12,16.6,20.9,7.0,3.0,168.8,128.9,103.3,36.4,11.09,66.056,14.625,6.43,56.632,30.612,235.37,5,7.5,55.038,11.226,10.939,79.83472358,32.41648596,33.48869646,0.253481224,297.71,55.59,16.9,370.2,2*,17+18,2+12,8,55
OM,2,4,20,16.3,20.5,6.7,3.1,165.6,115.0,84.3,38.2,11.307,63.697,13.52,5.7,56.49,21.925,210.45,5,10,58.331,12.932,11.326,76.52393693,20.37631595,37.16115629,0.224279298,,,,336.074,0,17+18,2+12,6,25
OM,2,4,17,14.2,19.5,6.5,2.8,162.5,114.1,83.7,28.4,11.491,62.37,12.659,5.06,60.524,23.851,193.093,4,9,58.999,12.626,13.355,75.22231583,19.06755025,32.25021512,0.21523337,285.84,62.17,13.61,361.62,2*,17+18,2+12,8,55
OM,2,4,9,17.4,21.5,7.1,3.1,167.0,116.1,86.8,41.9,11.691,61.024,14.322,4.09,66.082,27.338,174.552,3,8,56.51,12.573,13.406,75.20602209,27.96504362,31.59612638,0.1426159,257.48,75.75,21.04,354.27,2*,7oe+8,2+12,10,
OM,2,4,15,19.1,22.3,7.4,3.3,169.3,118.8,89.3,46.6,11.23,64.538,15.156,4.29,56.817,28.719,174.49,4,7.5,53.897,11.326,13.099,75.45313048,28.54961109,25.45151308,0.1403283,,,,344.187,2*,17+18,2+12,8,55
OM,2,4,7,17.0,20.7,6.8,3.2,172.3,118.7,87.6,40.9,11.201,66.795,15.99,5.08,44.907,23.053,180.673,6,9,54.29,12.5,11.084,75.18675171,35.98079807,27.07354155,0.2398592,278.1,60.27,14.31,352.68,1,17+18,2+12,8,40
OM,2,4,10,17.5,21.0,7.0,3.2,170.8,120.0,90.8,42.6,11.408,64.689,15.243,5.16,51.627,19.092,194.891,5,8,56.807,11.778,13.414,74.54048642,26.99666626,36.8973505,0.254551419,,,,357.362,2*,17+18,2+12,8,55
OM,2,4,4,17.3,20.7,6.8,3.2,171.4,120.3,90.4,43.1,11.765,63.652,15.03,4.79,51.004,23.73,178.896,5,7.5,55.473,12.057,12.742,78.26978122,29.67294531,32.0508905,0.214399368,280.33,68.41,20.14,368.88,1,7,2+12,6,30
OM,2,4,22,15.7,20.0,6.7,3.0,170.6,121.5,92.4,34.2,11.777,62.491,14.421,3.5,52.742,25.53,133.055,3,7.5,57.229,11.474,13.26,75.92496368,21.32466903,35.33411933,0.181387926,,,,357.99,0,7,2+12,4,15
KEF,1,1,1,16.3,20.7,7.0,3.0,178.6,137.0,111.0,33.9,10.884,63.386,13.279,3.14,58.923,24.824,119.144,3,12,47.844,11.241,10.06,78.90207846,35.98111672,23.08127752,0.211741332,284.42,55.93,17.25,357.60,0,7,2+10,,
KEF,1,1,2,14.3,19.6,6.5,2.8,171.1,131.4,105.8,29.1,11.27,61.861,13.215,5.01,65.32,28.283,183.078,4,10.5,55.237,11.93,10.32,70.04926318,14.52225703,28.22683124,0.203195934,,,,329.89,0,7,2+10,,
KEF,1,1,3,13.8,19.1,6.4,2.7,172.9,131.5,105.0,27.0,11.143,62.548,13.234,4.03,61.173,26.275,156.074,3,10.5,45.68,12.08,10.314,68.64368893,18.94831818,39.03654214,0.285876917,,,,322.44,2*,7,5+10,8,
KEF,1,1,4,14.2,19.3,6.5,2.8,172.9,132.8,106.9,28.9,11.589,60.384,12.257,3.81,62.275,27.732,148.502,3,10,51.216,11.611,10.293,75.3483046,22.3080612,25.81445239,0.227181195,,,,355.32,1,7,2+12,6,30
KEF,1,1,5,13.8,19.2,6.5,2.7,189.5,142.6,114.7,25.9,11.082,64.821,13.772,2.51,62.81,26.008,105.032,2,9.5,56.744,13.069,10.454,64.73410834,22.39220182,25.3828808,0.150916446,,,,261.72,2*,7+9,2+12,7,57
KEF,1,1,6,15.2,19.8,6.5,3.0,180.2,138.0,111.0,32.9,11.32,61.254,12.185,3.83,62.245,26.38,148.822,3,11.5,54.92,12.19,9.855,76.46880678,35.16739258,32.57246708,0.17462223,,,,303,1,7,2+12,6,30
KEF,1,1,7,13.6,18.9,6.4,2.7,177.8,134.7,106.9,26.0,11.151,63.718,13.021,3.92,63.066,29.561,154.805,3,10,49.484,11.674,10.35,74.87980493,40.22208986,28.17892952,0.240070848,,,,325.51,1,17+18,2+12,8,40
KEF,1,1,8,14.8,19.5,6.5,2.9,195.8,151.0,121.3,32.6,10.825,64.792,12.573,2.67,64.38,24.572,105.479,2,10,53.14,11.589,10.015,75.21562598,21.63778066,32.84416251,0.133725176,,,,313.07,1,7,2+12,6,30
KEF,1,1,9,15.0,19.7,6.5,2.9,176.6,134.9,108.2,32.2,11.498,60.316,12.341,3.2,64.149,27.328,127.217,3,8.5,46.728,12.3,10.002,78.03437754,35.47396166,24.98536541,0.173544943,,,,355.47,2*,7oe+8,2+12,10,
KEF,1,1,10,15.0,19.9,6.7,2.8,191.5,148.0,118.5,31.1,11.335,63.339,13.212,3.85,65.928,31.762,159.563,3,8,51.411,11.493,10.339,76.56384173,39.57144049,32.61965318,0.276921998,,,,347.73,2*,17+18,2+12,8,55
KEF,1,1,11,14.2,19.2,6.4,2.8,180.9,138.2,110.2,28.3,11.526,62.81,14.192,2.32,63.941,27.352,97.821,2,8.5,54.007,11.477,10.413,66.12131253,20.85886094,35.01277212,0.17767726,260.07,54.28,13.50,327.85,1,7,2+12,6,30
KEF,1,1,12,15.9,20.3,6.8,3.0,194.6,150.5,120.5,34.8,11.171,63.919,13.774,4.69,61.33,25.333,174.885,4,6.5,49.32,11.011,10.403,77.96299819,38.22861448,27.64128635,0.329815751,,,,341.14,2*,17+18,2+12,8,55
KEF,1,2,13,14.8,19.3,6.5,2.9,195.3,150.1,116.2,33.0,11.842,62.488,13.917,4.56,53.646,23.986,164.644,4,10,51.094,11.086,10.867,75.25036397,33.45342905,41.75119959,0.320835493,,,,362.65,2*,7+8,2+12,,52
KEF,1,2,14,15.8,20.1,6.7,3.0,172.6,131.1,105.1,35.4,11.301,61.979,12.801,2.64,71.222,31.562,120.547,2,10,52.061,11.862,10.218,77.16449986,23.76699455,32.03029157,0.236239454,,,,338.5,1,7,2+12,6,30
KEF,1,2,15,16.0,20.4,6.9,2.9,174.7,134.3,108.8,34.5,11.057,64.325,13.766,3.31,65.582,29.101,140.649,3,8.5,50.42,11.104,10.421,75.85944153,37.37815105,24.32427281,0.286003385,,,,336.19,2*,17+18,2+12,8,55
KEF,1,2,16,15.1,19.7,6.5,3.0,181.7,138.8,110.7,31.5,11.073,63.482,14.169,2.99,66.949,31.064,126.64,3,8,51.473,11.336,10.012,72.804643,24.6374056,30.26805083,0.167960964,,,,317.76,2*,7,2+12,6,45
KEF,1,2,17,13.7,18.9,6.3,2.8,172.5,131.0,104.2,27.8,11.529,60.798,12.085,3.76,67.166,29.419,155.179,3,8.5,53.771,12.506,10.271,75.54453652,37.34974199,30.8511196,0.191860542,,,,327.75,2*,17+18,2+12,8,55
KEF,1,2,18,12.8,18.4,6.2,2.6,175.8,133.5,106.1,23.5,11.561,60.482,12.49,2.93,73.127,32.254,134.622,2,8,51.225,11.878,10.108,78.10441451,26.94215775,33.67390807,0.260024201,,,,322.93,0,7,2+12,4,15
KEF,1,2,19,13.8,19.1,6.3,2.8,181.7,139.2,111.5,27.6,12.222,56.536,12.665,2.95,56.971,23.491,113.142,3,7.5,46.79,11.777,10.187,75.37478666,39.80673604,35.48074133,0.188542792,,,,326.26,0,17+18,2+12,6,25
KEF,1,2,20,14.5,19.2,6.3,2.9,174.6,132.9,107.5,30.9,10.991,62.027,12.101,4.09,62.638,25.073,159.286,4,9,45.441,13.08,10.049,77.03607945,34.8461814,29.54866018,0.241106722,,,,362.46,0,17+18,2+12,6,25
KEF,1,2,21,14.6,19.4,6.4,2.9,175.8,133.1,105.9,30.5,11.316,59.634,12.365,3.21,67.371,28.209,132.666,3,11,49.32,11.891,10.238,78.97336822,29.8361109,27.94354777,0.314963119,,,,317.50,0,7+9,2+12,5,27
KEF,1,2,22,13.8,19.0,6.4,2.8,178.0,136.7,109.4,26.7,11.266,60.893,12.713,2.78,63.682,27.782,109.787,2,9.5,50.76,11.879,10.272,76.47578641,24.44682949,30.43876797,0.245092386,,,,372.42,0,7,2+12,4,15
KEF,1,2,23,13.8,19.4,6.5,2.7,179.5,136.8,109.1,26.2,11.33,60.714,12.605,2.31,63.188,28.251,89.67,2,10.5,52.446,12.232,10.193,75.42921358,17.28680752,30.04137473,0.208340663,,,,374.44,1,7,2+12,6,30
KEF,1,2,24,14.0,19.1,6.3,2.8,175.4,133.7,106.9,28.3,11.217,61.959,12.696,2.95,60.876,28.771,111.991,2,11.5,51.89,12.241,10.159,75.80420415,25.35607595,29.56761074,0.257104347,,,,331.35,1,17+18,2+12,8,40
KEF,2,3,21,15.2,19.7,6.5,3.0,173.7,132.2,105.3,32.7,11.316,60.673,12.181,3.16,69.367,30.021,137.855,3,12,51.441,12.094,10.113,76.32291358,32.87837426,26.33932782,0.280658991,,,,333.76,0,7+9,2+12,5,27
KEF,2,3,13,14.4,19.2,6.4,2.9,179.2,135.4,106.3,30.4,11.551,61.829,13.268,4.97,57.816,25.682,177.739,4,10.5,54.398,11.752,10.432,77.08484259,33.75369783,37.91852136,0.333281222,,,,330.09,2*,7+8,2+12,,52
KEF,2,3,18,12.5,18.3,6.2,2.6,191.3,147.0,116.2,22.7,11.558,62.012,12.732,2.92,61.846,23.946,118.102,2,8.5,54.394,11.83,10.333,74.80855103,21.35113211,30.02810934,0.285325973,,,,347.55,0,7,2+12,4,15
KEF,2,3,8,15.8,20.1,6.6,3.0,181.2,140.1,116.0,32.7,10.856,64.145,11.774,2.84,61.501,25.303,109.647,2,9.5,48.294,11.09,10.409,78.20110293,19.79601657,36.04563011,0.145399802,286.97,52.15,23.28,362.40,1,7,2+12,6,30
KEF,2,3,3,13.4,18.8,6.3,2.7,188.2,144.1,114.1,26.2,11.375,62.049,11.499,3.3,62.114,25.355,133.984,3,8.5,45.239,11.837,10.353,74.89848579,23.52943317,35.0414799,0.304929509,,,,333.34,2*,7,5+10,8,
KEF,2,3,6,15.2,19.9,6.5,3.0,180.1,138.3,111.9,33.7,11.457,61.99,13.331,3.67,61.106,22.585,142.047,3,10.5,57.649,11.7,11.016,73.70704037,35.93070107,35.37595728,0.15583253,,,,374.34,1,7,2+12,6,30
KEF,2,3,2,15.4,20.0,6.6,2.9,160.9,110.9,80.0,34.1,11.224,62.828,12.657,5.75,61.863,30.852,209.075,5,9.5,73.852,13.149,10.849,76.17830324,22.21626482,27.34857916,0.176772776,258.42,57.40,13.48,329.30,0,7,2+10,,
KEF,2,3,5,14.3,19.7,6.6,2.7,159.5,105.9,75.6,29.7,11.008,63.123,13.08,3,68.088,38.835,139.006,3,12.5,74.579,14.191,13.129,66.27514757,20.21723195,20.60667417,0.145735075,220.49,94.23,,314.72,2*,7+9,2+12,7,57
KEF,2,3,14,16.4,20.4,6.8,3.1,163.5,110.7,78.8,37.7,11.248,62.455,12.267,3.36,79.281,32.284,170.064,3,8,62.291,12.972,11.075,72.57256212,25.6038356,27.45410962,0.255157535,,,,382.55,1,7,2+12,6,30
KEF,2,3,16,16.0,20.4,6.6,3.1,170.3,116.8,82.4,36.1,10.979,64.883,14.416,3.18,60.129,24.512,121.866,2,10,58.566,12.32,11.595,76.70490624,20.94464424,29.12340962,0.146906679,,,,342.6,2*,7,2+12,6,45
KEF,2,3,1,17.0,21.5,7.3,3.0,171.6,119.2,89.7,35.8,11.146,64.105,13.912,4.25,56.005,23.511,163.134,4,9,52.496,12.346,13.46,73.70865027,33.47885173,22.45262311,0.199004936,259.78,70.34,22.40,352.52,0,7,2+10,,
KEF,2,3,11,14.4,19.2,6.4,2.8,172.7,118.6,83.4,30.5,11.566,62.19,13.151,2.89,62.985,24.132,120.539,2,11.5,76.984,12.216,12.355,80.34943871,20.68996863,24.49681162,0.221262293,309.59,63.31,16.70,389.60,1,7,2+12,6,30
KEF,2,4,23,15.1,19.8,6.7,2.9,170.8,118.7,84.7,31.9,11.7,62.729,12.58,3.02,54.968,21.173,112.106,2,10.5,70.219,12.658,9.74,77.70541319,15.28197041,27.99427118,0.19183786,262.71,61.52,20.93,345.16,1,7,2+12,6,30
KEF,2,4,19,14.8,19.7,6.5,2.9,170.0,116.3,78.6,31.1,12.215,58.273,12.341,3.42,52.27,18.484,121.076,3,8,59.942,12.851,11.065,74.07117136,29.46196952,32.76183719,0.15810875,196.35,55.31,16.84,268.50,0,17+18,2+12,6,25
KEF,2,4,24,14.6,19.4,6.5,2.9,169.3,117.3,85.1,31.0,11.518,62.533,12.885,3.71,57.841,25.128,146.477,3,8,64.561,13.041,10.47,76.15966554,30.64448709,29.64246545,0.279936136,315.42,76.56,22.30,414.28,1,17+18,2+12,8,40
KEF,2,4,12,16.0,20.4,6.8,3.0,169.6,116.3,82.8,36.3,11.064,65.083,13.403,5.85,60.737,26.285,221.905,5,7.5,67.358,12.144,11.821,74.99671643,41.96363003,29.60077422,0.349157541,264.58,54.22,17.50,336.30,2*,17+18,2+12,8,55
KEF,2,4,20,16.7,20.5,6.7,3.2,163.2,111.7,82.0,39.3,11.027,64.267,12.83,3.5,64.854,28.714,154.353,2,11,55.815,13.202,12.191,73.883428,36.22275477,34.22437403,0.247599118,,,,360.14,0,17+18,2+12,6,25
KEF,2,4,17,15.0,19.5,6.5,2.9,161.7,111.4,79.4,33.4,11.288,62.468,13.222,3.51,65.111,25.682,142.772,2,12.5,62.35,12.626,13.099,77.11492023,34.10687188,24.07147467,0.220981791,294.69,71.99,18.20,384.88,2*,17+18,2+12,8,55
